market_id,condition_id,question,slug,category,liquidity_tier,volume_num,closed_time,winning_token_id,losing_token_id,winning_outcome_label
253591,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Will Donald Trump win the 2024 US Presidential Election?,will-donald-trump-win-the-2024-us-presidential-election,Politics,flagship,1531479284.504353,2024-11-06T15:17:41+00:00,21742633143463906290569050155826241533067272736897614950488156847949938836455,48331043336612883890938759509493159234755048973500640148014422747788308965732,Yes
253597,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,Will Kamala Harris win the 2024 US Presidential Election?,will-kamala-harris-win-the-2024-us-presidential-election,Politics,flagship,1037039118.18879,2024-11-06T18:03:54+00:00,87584955359245246404952128082451897287778571240979823316620093987046202296181,69236923620077691027083946871148646972011131466059644796654161903044970987404,No
511754,0xc3d4155148681756bfe67bb41d8d0882a8a122e7d3762b3591bf6598c9bd198b,Will Donald Trump be inaugurated?,will-donald-trump-be-inaugurated,Other,flagship,400409526.886835,2025-01-20T22:51:36+00:00,45714870634090908403813747458214625542376052548606303175331201110938821302832,81903344213938200361285862519406650037576398044514748634670292917494365866240,Yes
507892,0x763cc84a3cde36b9ce12a8afe6d3e1e3e46e50692e8ec47636c7803c1033cfab,Will the Sacramento Kings win the 2025 NBA Finals?,will-the-sacramento-kings-win-the-2025-nba-finals,Sports,flagship,378011506.511399,2025-04-17T08:51:19+00:00,6337766885333966690546293438662675059330486971861645192801950206137287554438,41257670817876317355997233596113195194194608207987371129645019730826567930842,No
2169995,0x3733a1b647e7364095736ab0966465d896a84cf3b6bc1695ca1f26c3239b3868,"MicroStrategy sells any Bitcoin by May 31, 2026?",microstrategy-sells-any-bitcoin-by-may-31-2026,Crypto,flagship,375813104.55575246,2026-06-04T00:34:19+00:00,3192689304828767159232889612891719105504357313659012189260030438494464480574,25714007960293389110960044475283546872601238755063051359394740854408462452120,No
512340,0x9872fe47fbf6284e5399c0f41d6d2c8fb310d2f4d2d50635ab3b36f6a0a7f5b0,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,will-nicolae-ciuca-win-the-2024-romanian-presidential-election,Politics,flagship,326507670.562732,2025-05-01T09:18:53+00:00,59618000103872045883924272587382664437569966578424869104128564655378953160740,53033438245279373213426094525005043480366615306824323472317521871682514379120,No
1640919,0x6d0e09d0f04572d9b1adad84703458b0297bc5603b69dccbde93147ee4443246,US forces enter Iran by April 30?,us-forces-enter-iran-by-april-30-899,Other,flagship,269049107.0837461,2026-04-09T00:28:21+00:00,2916184120206223749839849644877707470354946028257066951797428049170871002238,76533108781962275310651165149634079251899733930834190485860627580128626747247,Yes
546814,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,Will Zelenskyy wear a suit before July?,will-zelenskyy-wear-a-suit-before-july,Other,flagship,242231180.272023,2025-07-09T00:30:39+00:00,34379581789895528560281218239759280237277305372978794324822777438824410172683,103864131794756285503734468197278890131080300305704085735435172616220564121629,No
253642,0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,Will any other Republican Politician win the 2024 US Presidential Election?,will-any-other-republican-politician-win-the-2024-us-presidential-election,Politics,flagship,241655099.850067,2024-11-06T19:45:36+00:00,57677804490585887398706024193987529955099603362215749525873675088072565146041,87935798830831555521299232238121934560977823768906296045917813721531790174443,No
601697,0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Economy/Business,flagship,235065166.637259,2026-01-28T22:53:04+00:00,71478852790279095447182996049071040792010759617668969799049179229104800573786,11862165566757345985240476164489718219056735011698825377388402888080786399275,No
601700,0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,Fed increases interest rates by 25+ bps after January 2026 meeting?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Economy/Business,flagship,216455743.153891,2026-01-28T23:04:04+00:00,42139849929574046088630785796780813725435914859433767469767950066058132350666,16419649354067298412736919830777830730026677464626899811394461690794060330642,No
2036399,0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,"US x Iran ceasefire extended by April 22, 2026?",us-x-iran-ceasefire-extended-by-april-22-2026,Other,flagship,203621392.1401,2026-05-01T00:32:42+00:00,110959653450933276250915064669875552310439627880508793089816880777942697720191,50049642142024617231697970377792489304039200104142714216386619263735691638204,No
